target_direction,flanker_direction,current_congruency,previous_congruency,response_type,initiation_time,movement_time,response_time
right,left,I,c,repeat,0.136,0.384,0.517
right,left,I,i,repeat,0.237,0.269,0.5
left,right,I,i,switch,0.058,0.292,0.341
right,left,I,i,switch,0.225,0.287,0.509
right,left,I,i,repeat,0.008,0.48,0.488
left,left,C,i,switch,0.238,0.208,0.439
right,left,I,c,switch,0.252,0.238,0.487
right,right,C,i,repeat,0.224,0.242,0.451
right,right,C,c,repeat,0.17,0.254,0.426
right,right,C,c,repeat,0.306,0.151,0.453
left,right,I,c,switch,0.252,0.25,0.506
right,right,C,i,switch,0.221,0.223,0.436
right,right,C,c,repeat,0.256,0.169,0.419
right,left,I,c,repeat,0.26,0.202,0.452
left,right,I,i,switch,0.223,0.257,0.477
right,right,C,i,switch,0.259,0.189,0.443
left,right,I,c,switch,0.234,0.216,0.458
left,left,C,i,repeat,0.136,0.324,0.458
left,right,I,c,repeat,0.171,0.39,0.559
right,right,C,i,switch,0.053,0.37,0.424
left,right,I,c,switch,0.239,0.272,0.506
left,left,C,i,repeat,0.076,0.342,0.402
right,right,C,c,switch,0.244,0.222,0.451
left,left,C,c,switch,0.21,0.224,0.419
right,right,C,c,switch,0.119,0.27,0.391
left,right,I,c,switch,0.227,0.169,0.386
right,right,C,i,switch,0.088,0.304,0.387
right,left,I,c,repeat,0.225,0.287,0.502
right,right,C,i,repeat,0.225,0.254,0.467
right,left,I,c,repeat,0.237,0.251,0.485
left,right,I,i,switch,0.277,0.237,0.5
left,left,C,i,repeat,0.238,0.202,0.435
right,left,I,c,switch,0.239,0.24,0.468
left,right,I,i,switch,0.209,0.257,0.457
right,right,C,i,switch,0.203,0.216,0.418
left,right,I,c,switch,0.219,0.256,0.475
left,right,I,i,repeat,0.235,0.208,0.437
right,left,I,i,switch,0.344,0.14,0.475
left,right,I,i,switch,0.276,0.207,0.471
right,left,I,i,switch,0.252,0.287,0.541
left,right,I,i,switch,0.255,0.271,0.525
right,left,I,i,switch,0.268,0.257,0.522
left,left,C,i,switch,0.289,0.157,0.438
left,left,C,c,repeat,0.259,0.208,0.458
left,left,C,c,repeat,0.29,0.171,0.455
right,right,C,c,switch,0.259,0.186,0.439
right,left,I,c,repeat,0.252,0.241,0.49
left,left,C,i,switch,0.252,0.188,0.439
right,left,I,i,switch,0.255,0.283,0.536
right,left,I,i,repeat,0.22,0.304,0.526
